id,Judul,Link,Thumbnail_link,est_upload_date,current_views
22,"""Tiara Andini - Gemintang Hatiku (Official Music Video)""",/watch?v=qQtPAggFMt8,http://i3.ytimg.com/vi/qQtPAggFMt8/hqdefault.jpg,6/5/2020,4804431
23,"""APAKAH DUNIA INI PERLU PAHLAWAN SEPERTI KU? - DALANG PELO""",/watch?v=kX7BCmOCNwA,http://i3.ytimg.com/vi/kX7BCmOCNwA/hqdefault.jpg,6/8/2020,1120010
24,"""Baskom Challenge with CEO BENSU & MEGA SUPER BINTANG !!!!!!!""",/watch?v=tkb9hIeu2k0,http://i3.ytimg.com/vi/tkb9hIeu2k0/hqdefault.jpg,6/10/2020,400337
25,"""Stand Up Comedy Online! Tragedi Hape Kentang!""",/watch?v=HYb4R7WYt_w,http://i3.ytimg.com/vi/HYb4R7WYt_w/hqdefault.jpg,6/6/2020,1966500
26,"""Perang Status Dengan Anak, Dewan Kehormatan Sentil Krisdayanti | Intens Investigasi""",/watch?v=RgyXD1sHwH0,http://i3.ytimg.com/vi/RgyXD1sHwH0/hqdefault.jpg,6/10/2020,869197
27,"""Terkuak, Pakar Ekspresi Baca Ekspresi Wajah Aurel dan Ungkap Curhatan Azriel - Cumicam 09 Juni 2020""",/watch?v=mP7H9F8-_8k,http://i3.ytimg.com/vi/mP7H9F8-_8k/hqdefault.jpg,6/10/2020,497929
28,"""Perlahan - GuyonWaton (Lirik/Lyrics) | Perlahan engkau pun menjauh dari diriku""",/watch?v=EPgRyXqWopU,http://i3.ytimg.com/vi/EPgRyXqWopU/hqdefault.jpg,6/10/2020,209245
29,"""Keke Bukan Boneka (@rahmawati kekeyi putri cantikka Cover) | Kevin Aprilio feat. Widy Vierratale""",/watch?v=bQbZJSbkK4M,http://i3.ytimg.com/vi/bQbZJSbkK4M/hqdefault.jpg,6/5/2020,4519607
30,"""TWICE \""MORE & MORE\"" M/V""",/watch?v=mH0_XpSHkZo,http://i3.ytimg.com/vi/mH0_XpSHkZo/hqdefault.jpg,6/5/2020,90608319
31,"""KLARIFIKASI FIZI GAK ADA AKHLAK ?? - ANIMASI KOLOR CEPLOK""",/watch?v=7unOPhp7T-M,http://i3.ytimg.com/vi/7unOPhp7T-M/hqdefault.jpg,6/10/2020,555201
